10K	ten k
DLSS 2	d l s s two
DLSS 3	d l s s three
DGX A100	dgx a hundred	-1.1
DGX A100	dgxa one hundred	-1.1
DGX Station	dgx station	-1.1
DHCP	dhcp
DLSS	dlss
DLSS 2	dlss two
DLSS 3	dlss three
DNA	dna
DNN	dnn
DNS	dns
DOS	dos
DP	dp
DPDT	dpdt
DPU	dpu
DPUs	dpus
DPX	dpx
DNA	d n a
DNN	d n n
DNS	d n s
DOS	dos
DP	d p
DPDT	d p d t
DPU	d p u
DPX	d p x
DRIVE Hyperion	drive hyperion
NVIDIA DRIVE	nvidia drive
DRIVE Orin	drive orin
DRIVE Atlan	drive atlan
DRIVE platform	drive platform
DRIVE Sim	drive sim
DRIVE Chauffeur	drive chauffeur
DRIVE Concierge	drive concierge
DRIVE Thor	drive thor
DRIVE SoC	drive soc
DRIVE partners	drive partners
DeepMind	deep mind
DeepMind	deepmind
DeepStream	deep stream
DeepStream	deepstream
DevOps	dev ops
DevOps	devops
Direct3D	direct three d
DisplayPort	display port
DisplayPort	displayport
EBC	ebc
EBS	ebs
EC2	ec two
ECC	ecc
ECS	ecs
EFS	efs
EGX	egx
EKS	eks
ELB	elb
ELCB	elcb
EMR	emr
EOL	eol
EV	ev
EBC	e b c
EBS	e b s
EC2	e c two
ECC	e c c
ECS	e c s
EFS	e f s
EGX	e g x
EKS	e k s
ELB	e l b
ELCB	e l c b
EMR	e m r
EOL	e o l
EV	e v
Earth-2	earth two
FIFO	fee foe
FIFO	fifo
FourCastNet	four cast net
FourCastNet	forecast net
FOMO	foe moe
FOMO	fomo
FPS	fps
FSA	fsa
FST	fst
FTP	ftp
FTPS	ftps
FX	fx
FPS	f p s
FSA	f s a
FST	f s t
FTP	f t p
FTPS	f t p s
FX	f x
G-SYNC	g sync
GCC	g c c
GCP	g c p
GCS	g c s
GFN	G f n
GPU	g p u
GRPC	g r p c
GRU	g r u
GSK	g s k
GTC	g t c
GTX	g t x	-1.1
GUI	g u i
G-SYNC	gsync
GCC	gcc
GCP	gcp
GCS	gcs
GDC	gdc
GDC	gd c
GDC's	gdc's
GDC's	gd c's
GFN	Gfn
GPU	gpu
GPUs	gpus
GRPC	grpc
GRU	gru
GSK	gsk
GTC	gtc
GTX	gtx	-1.1
GUI	gui
GDN	gdn
GeForce	ge force
GeForce	geforce
GeForce NOW	geforce now
GeForce NOW	ge force now
H.264	H two six four
H.264	H two sixty four
H.265	H two six five
H.265	H two sixty five
H100	H one hundred
H100	h one hundred
HDMI	h d m i
HDMI	hdmi
HEVC	h e v c
HEVC	hevc
HGX	h g x
HGX	hgx
HMD	Hmd
HPC	h p c
HPC	hpc
HPC	hp c
HPC's	hp c's
HPC's	hpc's
HQ	h q
HSM	h s m
HT	h t
HTML	h t m l
HTTP	h t t p
HTTPS	h t t p s
HPC	hpc
HQ	hq
HSM	hsm
HT	ht
HTML	html
HTTP	http
HTTPS	https
HuggingFace	hugging face
HuggingFace	huggingface
I/O	i o
ICMP	i c m p
IEC	i e c
ICMP	icmp
IEC	iec
IEEE	i triple e
IGMP	igmp
IGX	igx
IISc	iisc
IIT	iit
IGMP	i g m p
IGX	i g x
IISc	i i s c
IIT	i i t
INT8	int eight
IP	i p
IPSec	i p sec
ISC	i s c
ISI	i s i
IP	ip
IPSec	ip sec
IPSec	ipsec
ISO	iso
ISC	isc
ISI	isi
InfiniBand	infiniband
IoT	i o t
IoT	iot
Isaac SIM	isaac sim
JSON	json
JSON	j son
JavaScript	java script
JavaScript	javascript
KVM	k v m
KVM	kvm
LFP	lee fei po
LFP	life po
LFP	l f p
LFP	lfp
LGA	l g a	-1.1
LLC	l l c
LLM	l l m
LLMs	l l ms
LLP	l l p
LSTM	l s t m
LT	l t
LTT	l t t
LGA	lga	-1.1
LLC	llc
LLM	llm
LLMs	llms
LLP	llp
LSTM	lstm
LT	lt
LTT	ltt
LinkedIn	linked in
LinkedIn	linkedin
MB	m b
MCB	m c b
MCCB	m c c b
MCP	m c p
MDM	m d m
MFA	m f a
MIT	m i t
ML	m l
MLPerf	m l perf
MB	mb
MCB	mcb
MCCB	mccb
MCP	mcp
MDM	mdm
MFA	mfa
MIT	mit
ML	ml
MLPerf	ml perf
MLPerf	mlperf
MONAI	monai
MWC	mwc
MXNet	mxnet
MWC	m w c
MXNet	m x net
MacBook	mac book
MacBook	macbook
MacBook Pro	mac book pro
Max-Q	max q
Max-Q	maxq
Million-X	million x
MoCap	mo cap
MoCap	mocap
NC	nc
NGC	ngc
NLP	nlp
NLU	nlu
NMC	nmc
NTP	ntp
NC	n c
NGC	n g c
NLP	n l p
NLU	n l u
NMC	n m c
NO	n o
NTP	n t p
NVDec	n v dec
NVDec	n v deck
NVEnc	nvenc
NVEnc	n v enc
NVEnc	n v inc
NVEnc	n v ink
NVMe	n v m e
Ni-CD	knee cad
Ni-CD	nicad
NiMH	nimh
NiMH	n i m h
NoSQL	no s q l
NoSQL	nosql
NoSQL	no sql
NVIDIA 	nvidia
NVIDIA-powered	nvidia powered
NVIDIA-accelerated	nvidia accelerated
NVIDIA A100	nvidia a hundred
NVIDIA A100	nvidia a one hundred
NVIDIA A10	nvidia a ten
NVIDIA A20	nvidia a twenty
NVIDIA A30	nvidia a thirty
NVIDIA A40	nvidia a forty
OCI	oci
OEM	oem
OEMs	oems
OLTC	oltc
OLTP	oltp
OCI	o c i
OEM	o e m
OEMs	o e ms
OLTC	o l t c
OLTP	o l t p
Omniverse	omniverse
Omniverse ACE	omniverse ace
BlueField	bluefield
BlueFIeld-2	bluefield two
BlueFIeld-3	bluefield three
ONNX	o n n x
OVX	o v x
ONNX	onnx
OVX	ovx
OpEx	op ex
OpEx	opex
OpenAI	open a i
OpenAI	open ai
OpenCL	open c l
OpenGL	open g l
PCI	p c i
PCIe	p c i e	-1.1
PCI	pci
PCIe	pcie	-1.1
PDF	p d f
PHEV	p h e v
PDF	pdf
PHEV	phev
POP3	pop three
PSO	p s o
PSO	pso
Photoshop	photo shop
PhysX	fizz ex
PhysX	fizz x
PhysX	phys ex
PhysX	phys x
PhysX	physx
pre-trained	pre trained
pre-train	pre train
PlayStation	play station
PlayStation	playstation
Premiere Pro	premiere pro
ProVis	pro vis
ProVis	provis
PyG	pi g
PyG	py g
PyTorch	pi torch
PyTorch	pytorch
QODA	q o d a
QOS	q o s
RCBO	r c b o
RCCB	r c c b
RDS	r d s
RFP	r f p
QODA	qoda
QOS	qos
RCBO	rcbo
RCCB	rccb
RDS	rds
RFP	rfp
RISC	risc
RL	r l
RNN	r n n
ROI	r o i
RSS	r s s
RT	r t
RTP	r t p
RL	rl
RNN	rnn
ROI	roi
RSS	rss
RT	rt
RTP	rtp
Reflex ON	reflex on
RTX	rtx
RTX	r t x	-1.1
RTX ON	r t x on
RTX Off	r t x off
RTX	rtx	-1.1
RTX ON	rtx on
RTX Off	rtx off
RacerX	racer x
RacerX	racerx
Ryzen 2	rye zen two
Ryzen 3	rye zen three
Ryzen 5	rye zen five
Ryzen 7	rye zen seven
Ryzen 9	rye zen nine
Ryzen 2	ryzen two
Ryzen 3	ryzen three
Ryzen 5	ryzen five
Ryzen 7	ryzen seven
Ryzen 9	ryzen nine
S&P	s and p
S&P	s n p
S3	s three
SAE	s a e
SDK	s d k
SEO	s e o
SFU	s f u
SAE	sae
SDK	sdk
SEO	seo
SFU	sfu
SHIELD TV	shield tv
SIGGRAPH	sig graph
SIGGRAPH	siggraph
SMPS	s m p s
SMTP	s m t p
SNMP	s n m p
SNS	s n s
SOL	s o l
SPDT	s p d t
SPN	s p n
SPST	s p s t
SQL	s q l
SQS	s q s
SSD	s s d
SSH	s s h
SSL	s s l
SSO	s s o
SSR	s s r
SUV	s u v
SWG	s w g
SXM	s x m
SXM	sxm
SMPS	smps
SMTP	smtp
SNMP	snmp
SNS	sns
SOL	sol
SPDT	spdt
SPN	spn
SPST	spst
SQL	sql
SQS	sqs
SSD	ssd
SSH	ssh
SSL	ssl
SSO	sso
SSR	ssr
SUV	suv
SWG	swg
SaaS	saas
ServiceNow	service now
SuperCloud	super cloud
SuperPOD	super pod
ServiceNow	servicenow
SuperCloud	supercloud
SuperPOD	superpod
TCP	t c p
TCP/IP	t c p i p
TFTP	t f t p
TCP	tcp
TCP/IP	tcpip
TFTP	tftp
TJ	t j
TJ	tj
TOS 	tos
TPM	tpm
TPMS	tpms
TPN	tpn
TSL	tsl
TSMC	tsmc
TSMC's	tsmc's
TTS 	tts
TOS 	t o s
TPM	t p m
TPMS	t p m s
TPN	t p n
TSL	t s l
TSMC	t s m c
TTS 	t t s
TX2	tx two
Telnet	tell net
Telnet	telnet
TensorRT	tensor r t
TensorRT	tensorrt
Tick-Tock	tick tock
TikTok app	tick tock app
TikTok is	tick tock is
UDP	u d p
UEFI	u e f i
UFI	u f i
UPS	u p s
USB	u s b
VAAPI	v a a p i
VAAPI	v a api
VDI	v d i
VDPAU	v d p a u
VDPAU	v d paw
VDPAU	v d pow
UDP	udp
UEFI	uefi
UFI	ufi
USB	usb
VAAPI	vaapi
VDI	vdi
VDPAU	vdpau
OpenVDB	openvdb
OpenVDB	open vdb
OpenVDB	open v d b
VDB	v d b
VDB	vdb
VFD	v f d
VFD	vfd
VLAN	v lan
VLAN	vlan
VP	vp
VPN	vpn
VPF	vpf
Vcc	vcc
Vdd	vdd
VoIP	voip
WFSA	wfsa
WFST	wfst
VP	v p
VPN	v p n
Vcc	v c c
Vdd	v d d
VoIP	v o i p
WFSA	w f s a
WFST	w f s t
Wi-Fi	wi fi
Wi-Fi	wifi
XFX	xfx
XML	xml
XFX	x f x
XFX	x fx
XML	x m l
Zen 2	zen two
Zen 3	zen three
Zen 4	zen four
cuBLAS	cue blah
cuBLAS	cue blahs
cuBLAS	q blahs
cuBLAS	cublas
cuDNN	c u d n n
cuDNN	cudnn
cuDNN	cue d n n
cuDNN	q d n n
cuOpt	cue opt
cuOpt	q opt
cuOpt	cueopt
cuQuantum	cue quantum
cuQuantum	cuequantum
cuQuantum	q quantum
dr.	doctor
e.g.	for example
es3	e s three
ext4	e x t four
es3	es three
ext4	ext four
i3	i three
i5	i five
i7	i seven
i9	i nine
iOS	ios
iOS	i o s
iTPMS	i t p m s
iTPMS	itpms
mr.	mister
mrs.	misses
on TikTok	on tick tock
sFTP	s f t p
sFTP	sftp
st.	saint
x1	x one
x2	x two
x8	x eight
x8	x sixteen
x1	times one
x2	times two
x8	times eight
x8	times sixteen
SIGGRAPH	siggraph
Computex	computex
GauGAN360	gau gan three sixty
GauGAN2	gau gan two
L1	l one
L2	l two
L3	l three
L4	l four
L5	l five
10-Series	ten series
20-Series	twenty series
30-Series	thirty series
40-Series	forty series
DNAnexus	dna nexus
FormBio	form bio
GPU-Quantum	gpu quantum
ORCA Computing	orca computing
NanoVDB	Nano vdb
OmniLive	omnilive
AI-driven	ai driven
NVIDIANs	nvidians
GauGAN	gau gan
RoboTaxi	robo taxi
RTX-powered	rtx powered
CUDA-compatible	cuda compatible
CUDA-accelerated	cuda accelerated
LLMlarge	llm large
ChatGPT-like	chatgpt like
BioNeMo	bio nemo
BioNeMo	bionemo
NeMo	nemo
VertexAI	vertex ai
GeForce-class	geforce class
OneDrive	onedrive
SharePoint	sharepoint
AI-of-Things	ai of things
AI-capable	ai capable
AT&T	at and t
R&D	r and d
M&E	m and e
AT&T’s	AT and T’s
Kore.ai	kore dot ai
nvidia.com	nvidia dot com
nvidia.com/omniverse	nvidia dot com slash omniverse
CUDA	cuda
ETA	eta
GI	gi
EUV	euv
ASML	asml
StyleGAN 	stylegan
GAN	gan
NGC	ngc
LiDAR	lidar
GTX-580	gtx five eighty
NVIDIA cuOpt	nvidia co opt
NVIDIA cuOpt	nvidia co op
PC	p c
PC	pc
RPC	rpc
WebRPC	web rpc
RDMA	rdma
cuQuantum	Coup Quantum
Bionano	bio nano
PacBio	pac bio
